Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1748479684,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1748479685,10,,Aggregated,0.000000,0.000000,230,230,230,230,230,230,230,230,230,230,230,5,0,225.88683301000856,225.30114180408418,224.57629200653173,225.88683301000856,61.0
1748479686,20,,Aggregated,0.000000,0.000000,230,340,340,350,440,440,440,440,440,440,440,13,0,230.0,274.24301284750425,75.05875002243556,438.6729169928003,61.0
1748479687,30,,Aggregated,5.000000,0.000000,290,340,440,440,440,450,450,450,450,450,450,20,0,230.0,264.7071084516938,30.145208002068102,445.42029200238176,61.0
1748479688,40,,Aggregated,2.500000,0.000000,270,340,340,440,440,440,450,450,450,450,450,25,0,270.0,256.27695348113775,30.145208002068102,445.42029200238176,61.0
1748479689,50,,Aggregated,4.333333,0.000000,270,340,440,440,480,490,490,490,490,490,490,34,0,270.0,273.80117779573675,30.145208002068102,486.3748750067316,61.0
1748479690,60,,Aggregated,6.000000,0.000000,270,340,440,440,480,490,490,490,490,490,490,37,0,270.0,263.6730203529304,30.145208002068102,486.3748750067316,61.0
1748479691,70,,Aggregated,5.000000,0.000000,270,340,360,440,480,480,490,490,490,490,490,42,0,270.0,265.4517470488957,30.145208002068102,486.3748750067316,61.0
1748479692,80,,Aggregated,5.666667,0.000000,270,360,430,440,480,480,490,490,490,490,490,49,0,270.0,276.6651675118162,19.14545797626488,486.3748750067316,61.0
1748479693,90,,Aggregated,5.285714,0.000000,340,350,430,440,450,480,490,490,490,490,490,55,0,340.0,283.2648083461787,19.14545797626488,486.3748750067316,61.0
1748479694,100,,Aggregated,5.250000,0.000000,340,360,430,430,470,480,490,490,490,490,490,67,0,340.0,282.1510242842965,19.14545797626488,486.3748750067316,61.0
1748479695,100,,Aggregated,5.444444,0.000000,270,350,410,430,450,480,490,490,490,490,490,73,0,270.0,264.7507500277405,19.14545797626488,486.3748750067316,61.0
1748479696,100,,Aggregated,5.600000,0.000000,270,340,410,430,450,480,490,490,490,490,490,78,0,270.0,252.4510475774057,19.14545797626488,486.3748750067316,61.0
1748479697,100,,Aggregated,6.400000,0.000000,230,340,360,430,440,480,490,490,490,490,490,85,0,230.0,238.99782795342617,19.14545797626488,486.3748750067316,61.0
1748479698,100,,Aggregated,7.000000,0.000000,230,340,360,410,440,480,490,490,490,490,490,88,0,220.0,232.69804688673256,19.14545797626488,486.3748750067316,61.0
1748479699,100,,Aggregated,6.600000,0.000000,220,340,360,410,440,480,490,490,490,490,490,92,0,200.0,228.11582880524878,19.14545797626488,486.3748750067316,61.0
1748479700,100,,Aggregated,6.200000,0.000000,200,340,360,410,440,480,490,490,490,490,490,94,0,200.0,224.75752838394368,19.14545797626488,486.3748750067316,61.0
1748479701,100,,Aggregated,6.400000,0.000000,190,340,350,410,440,480,490,490,490,490,490,98,0,190.0,219.7016335210682,19.14545797626488,486.3748750067316,61.0
1748479702,100,,Aggregated,6.400000,0.000000,190,340,350,410,440,480,490,490,490,490,490,98,0,190.0,219.7016335210682,19.14545797626488,486.3748750067316,61.0
1748479703,100,,Aggregated,5.900000,0.000000,190,340,350,410,440,480,490,490,490,490,490,99,0,190.0,217.9468535463034,19.14545797626488,486.3748750067316,61.0
1748479704,100,,Aggregated,5.900000,0.000000,190,340,350,410,440,480,490,490,490,490,490,99,0,190.0,217.9468535463034,19.14545797626488,486.3748750067316,61.0
1748479705,100,,Aggregated,5.900000,0.000000,190,340,350,410,440,480,490,490,490,490,490,99,0,190.0,217.9468535463034,19.14545797626488,486.3748750067316,61.0
1748479706,100,,Aggregated,5.900000,0.000000,190,340,350,410,440,480,490,490,490,490,490,99,0,190.0,217.9468535463034,19.14545797626488,486.3748750067316,61.0
1748479707,100,,Aggregated,5.900000,0.000000,190,340,350,410,440,480,490,490,490,490,490,99,0,190.0,217.9468535463034,19.14545797626488,486.3748750067316,61.0
1748479708,100,,Aggregated,5.900000,0.000000,190,340,350,410,440,480,490,490,490,490,490,99,0,190.0,217.9468535463034,19.14545797626488,486.3748750067316,61.0
1748479709,100,,Aggregated,5.900000,0.000000,190,340,350,410,440,480,490,490,490,490,490,99,0,190.0,217.9468535463034,19.14545797626488,486.3748750067316,61.0
1748479710,100,,Aggregated,5.900000,0.000000,190,340,350,410,440,480,490,490,490,490,490,99,0,190.0,217.9468535463034,19.14545797626488,486.3748750067316,61.0
1748479711,100,,Aggregated,5.900000,0.000000,190,340,350,410,440,480,490,490,490,490,490,99,0,190.0,217.9468535463034,19.14545797626488,486.3748750067316,61.0
1748479712,100,,Aggregated,5.900000,0.000000,190,340,350,410,440,480,490,490,490,490,490,99,0,190.0,217.9468535463034,19.14545797626488,486.3748750067316,61.0
1748479713,100,,Aggregated,5.900000,0.000000,190,340,350,410,440,480,490,490,490,490,490,99,0,190.0,217.9468535463034,19.14545797626488,486.3748750067316,61.0
1748479714,100,,Aggregated,0.100000,0.000000,190,340,360,410,440,480,490,30000,30000,30000,30000,100,1,190.0,515.8192175108707,19.14545797626488,30005.18325000303,60.39
1748479715,100,,Aggregated,0.100000,0.000000,190,340,360,410,440,480,490,30000,30000,30000,30000,101,2,190.0,807.8647846641886,19.14545797626488,30012.42149999598,59.79207920792079
